
> solid-nextjs@1.3.1 start
> npx --yes serve out -l 3000

 INFO  Accepting connections at http://localhost:55817
 HTTP  1/8/2026 12:28:38 AM ::1 GET /zh
 HTTP  1/8/2026 12:28:38 AM ::1 Returned 404 in 42 ms
 HTTP  1/8/2026 12:28:39 AM ::1 GET /favicon.ico
 HTTP  1/8/2026 12:28:39 AM ::1 Returned 404 in 1 ms
 HTTP  1/8/2026 12:28:44 AM ::1 GET /
 HTTP  1/8/2026 12:28:44 AM ::1 Returned 404 in 1 ms
 HTTP  1/8/2026 12:28:49 AM ::1 GET /en
 HTTP  1/8/2026 12:28:49 AM ::1 Returned 404 in 9 ms
 HTTP  1/8/2026 12:29:09 AM ::1 GET /en/uninstaller/installed
 HTTP  1/8/2026 12:29:09 AM ::1 Returned 404 in 23 ms
 HTTP  1/8/2026 12:29:53 AM ::1 GET /zh
 HTTP  1/8/2026 12:29:53 AM ::1 Returned 404 in 45 ms
 HTTP  1/8/2026 12:29:59 AM ::1 GET /zh-CN
 HTTP  1/8/2026 12:29:59 AM ::1 Returned 404 in 1 ms
 HTTP  1/8/2026 12:30:05 AM ::1 GET /favicon.ico
 HTTP  1/8/2026 12:30:05 AM ::1 Returned 404 in 5 ms
 HTTP  1/8/2026 12:30:18 AM ::1 GET /zh/features
 HTTP  1/8/2026 12:30:18 AM ::1 Returned 404 in 13 ms
 HTTP  1/8/2026 12:30:30 AM ::1 GET /en/blog
 HTTP  1/8/2026 12:30:30 AM ::1 Returned 404 in 4 ms
 HTTP  1/8/2026 12:32:53 AM ::1 GET /zh
 HTTP  1/8/2026 12:32:53 AM ::1 Returned 404 in 2 ms
 HTTP  1/8/2026 12:33:00 AM ::1 GET /en
 HTTP  1/8/2026 12:33:00 AM ::1 Returned 404 in 30 ms
 HTTP  1/8/2026 12:33:04 AM ::1 GET /
 HTTP  1/8/2026 12:33:04 AM ::1 Returned 404 in 9 ms
 HTTP  1/8/2026 12:33:23 AM ::1 GET /zh-CN
 HTTP  1/8/2026 12:33:23 AM ::1 Returned 404 in 18 ms
 HTTP  1/8/2026 12:33:29 AM ::1 GET /zh/support
 HTTP  1/8/2026 12:33:29 AM ::1 Returned 404 in 10 ms
